x,y
0.235765,0.345135
0.47776,0.553409
0.711175,0.737036
0.948484,0.925107
1.16664,1.06432
1.40476,1.23015
1.61734,1.36821
1.8367,1.52237
2.08168,1.67765
2.57299,1.99009
2.76619,2.07271
2.99599,2.18411
3.22481,2.29203
3.41614,2.3862
3.64776,2.47443
3.85484,2.55781
4.11748,2.6359
4.27953,2.71735
4.51138,2.78384
4.7076,2.84485
4.94211,2.89906
5.17605,2.94065
5.38292,2.98313
5.58662,3.02102
5.82655,3.03597
6.0354,3.05903
6.22947,3.0952
6.46303,3.08244
6.68415,3.087
6.88277,3.10115
7.12728,3.09487
7.3331,3.08514
7.5822,3.1004
7.8438,3.10818
8.05361,3.05802
8.11834,2.91899
