x,y
0.144483,0.264396
0.373746,0.450849
0.602194,0.647026
0.836214,0.787432
1.06811,0.979534
1.31153,1.16916
1.5326,1.32671
1.76018,1.45682
1.98097,1.59502
2.21172,1.73123
2.4315,1.85538
2.68667,2.00125
2.87867,2.09329
3.12007,2.21755
3.33953,2.31545
3.50162,2.39654
3.75501,2.4857
3.95243,2.57904
4.24176,2.645
4.4083,2.71953
4.64425,2.77567
4.85809,2.83165
5.04697,2.88838
5.2828,2.91945
5.51419,2.93605
5.73592,2.96398
5.93217,2.97956
6.15471,2.98642
6.3607,3.00196
6.53708,3.01515
6.75337,3.00888
6.96137,3.00224
7.17971,2.96489
7.36376,2.95769
7.56805,2.93147
7.77115,2.89197
7.99011,2.82668
8.18902,2.7861
8.59394,2.65246
8.77286,2.62304
8.98441,2.49678
9.16379,2.45122
9.34812,2.37381
9.57446,2.22313
9.75789,2.12755
9.93995,2.02382
10.1265,1.94253
10.3065,1.79412
10.4862,1.69624
10.6712,1.56285
10.9293,1.49812
