x,y
0.29959,0.340392
0.531141,0.530115
0.752511,0.698135
0.970044,0.845359
1.17928,0.960183
1.39725,1.09414
1.60991,1.22139
1.83443,1.35943
2.04253,1.46976
2.24424,1.54949
2.46754,1.67008
2.6619,1.75536
2.91027,1.8611
3.12236,1.94892
3.30275,2.00376
3.54676,2.09031
3.76027,2.15494
3.94245,2.20494
4.17848,2.25966
4.38615,2.30256
4.58401,2.33925
4.81131,2.35816
5.00356,2.39579
5.22349,2.40527
5.42761,2.402
5.64878,2.40066
5.87514,2.37864
6.0514,2.39444
6.22354,2.38941
6.40224,2.37725
6.63157,2.31819
6.84146,2.28191
7.11347,2.25525
7.24696,2.19035
7.4267,2.14886
7.6299,2.09025
7.83659,1.99987
8.02291,1.92789
8.19614,1.86091
8.39395,1.75215
