x,y
0.349531,0.419981
0.591411,0.58534
0.811551,0.777677
1.06644,0.994683
1.3039,1.1579
1.53428,1.31185
1.75237,1.4335
1.99582,1.59859
2.20669,1.72084
2.43869,1.86355
2.69458,2.00837
2.91341,2.11672
3.12529,2.23104
3.38277,2.35137
3.59929,2.44459
3.82362,2.54196
4.08383,2.62939
4.27885,2.70436
4.5103,2.77592
4.75707,2.83842
4.96745,2.89387
5.19274,2.94737
5.39268,3.00614
5.62584,3.03513
5.84428,3.0673
6.07267,3.08868
6.29968,3.11087
6.51724,3.12525
6.75663,3.11868
6.97128,3.11786
7.19046,3.10546
7.38708,3.10955
7.61921,3.07943
7.83455,3.04679
8.04359,3.02336
8.25016,2.95977
8.4545,2.93785
8.66264,2.88106
8.89188,2.7985
9.10294,2.72168
9.29751,2.62644
9.52606,2.50957
9.68169,2.55135
9.96828,2.38025
10.0766,2.33386
10.2954,2.23476
10.5016,2.12201
10.7098,2.00107
10.9225,1.90411
11.1142,1.76158
11.307,1.61111
12.2813,0.838922
12.4682,0.710447
