x,y
0.080867,0.232226
0.48763,0.471135
0.55721,0.558528
0.785718,0.737436
1.01354,0.878128
1.23072,1.00028
1.46241,1.15043
1.69151,1.30257
1.90365,1.39873
2.14167,1.54722
2.33473,1.62429
2.81925,1.87286
3.00846,1.9382
3.21996,2.02803
3.45981,2.11775
3.65711,2.18905
3.91868,2.25289
4.12024,2.31891
4.29239,2.38001
4.53628,2.42307
4.75095,2.46063
4.98062,2.49633
5.17832,2.53111
5.39487,2.54463
5.60145,2.56099
5.7953,2.57975
6.02113,2.57414
6.21527,2.59501
6.45064,2.55463
6.65477,2.54792
6.87403,2.51673
7.13467,2.52362
7.285,2.44652
7.47271,2.41033
7.69764,2.36536
7.90764,2.29651
8.10727,2.2541
