x,y
0.195354,0.278993
0.414277,0.463033
0.643072,0.624511
0.868702,0.795219
1.10054,0.955329
1.30894,1.07145
1.53365,1.21542
1.77117,1.38161
1.97984,1.49837
2.19131,1.60506
2.66739,1.87352
2.86525,1.92723
3.06595,2.01273
3.29312,2.09955
3.48316,2.17037
3.68445,2.24512
3.91337,2.30562
4.16014,2.36291
4.32618,2.42068
4.55389,2.4637
4.793,2.49203
4.97992,2.52933
5.20699,2.53849
5.42846,2.55669
5.61304,2.58085
5.80297,2.59146
5.99435,2.58401
6.20725,2.56278
6.42214,2.54552
6.60335,2.53994
6.80821,2.49996
6.99296,2.47021
7.19275,2.44007
7.39646,2.37781
7.58311,2.33395
7.77423,2.26031
7.97608,2.18137
8.13572,2.15725
8.34391,2.03769
8.52263,1.96062
8.70324,1.87555
8.89015,1.78391
9.07598,1.6588
9.25434,1.56994
9.42458,1.471
9.62045,1.2951
9.78782,1.25548
11.0769,0.0852683
11.0539,0.0851679
11.3079,0.0862762
