x,y
0.19835,0.278823
0.434971,0.477135
0.662958,0.652465
0.897674,0.818466
1.14037,1.02964
1.3505,1.13978
1.59412,1.33823
1.82652,1.50062
2.04598,1.63296
2.28143,1.77304
2.49126,1.88611
2.72889,2.0333
2.9461,2.14389
3.14391,2.24073
3.41259,2.36204
3.59863,2.44751
3.84545,2.54363
4.09499,2.63361
4.32506,2.70154
4.55727,2.76608
4.75447,2.8267
4.96382,2.88139
5.16178,2.94043
5.40483,2.96391
5.61379,3.01097
5.8145,3.04504
6.02598,3.0732
6.2565,3.07767
6.48051,3.07781
6.6993,3.07816
6.92648,3.06939
7.12221,3.06335
7.33748,3.0367
7.53155,3.02931
7.75528,2.9826
7.95683,2.95738
8.15522,2.91903
8.3622,2.87619
8.57459,2.79921
8.77237,2.7295
8.9655,2.70236
9.16617,2.61596
9.36956,2.52142
9.58459,2.42237
9.77377,2.35983
9.96589,2.26223
10.1743,2.13278
10.3837,1.96389
10.5483,1.92286
10.7544,1.7656
10.9381,1.65574
11.125,1.5397
11.3027,1.47974
12.0437,0.781248
12.2948,0.696795
