x,y
0.18343,0.262355
0.399757,0.39868
0.620444,0.53399
0.829076,0.638805
1.04053,0.770569
1.25012,0.911022
1.44693,0.969174
1.66233,1.06864
1.86425,1.16496
2.0763,1.25852
2.26886,1.3171
2.47846,1.40049
2.9273,1.55256
3.11553,1.58823
3.31027,1.63205
3.49931,1.66091
3.68543,1.69414
3.90535,1.72459
4.09573,1.74542
4.31172,1.76038
4.51855,1.76254
4.70829,1.75345
4.91954,1.74596
5.09869,1.73236
5.27574,1.72306
5.45911,1.71335
5.66539,1.66243
5.8745,1.61675
6.07482,1.5531
6.22576,1.54276
6.42549,1.48313
6.63168,1.37985
6.80517,1.34052
6.97884,1.26001
7.15722,1.16811
7.35021,1.06718
7.53102,0.995412
7.71812,0.848251
7.92677,0.877189
8.30772,0.456306
8.42164,0.429595
