x,y
0.133619,0.24744
0.377724,0.450431
0.615436,0.629012
0.846085,0.830614
1.06027,0.967257
1.29999,1.13098
1.53619,1.32496
1.75236,1.44743
1.97527,1.59909
2.20417,1.73779
2.62693,1.97431
2.89361,2.12934
3.10376,2.22752
3.31334,2.32624
3.54802,2.42931
3.77136,2.52161
4.01732,2.60906
4.25507,2.69049
4.4359,2.75685
4.66432,2.81667
4.89498,2.87261
5.12647,2.91992
5.31776,2.97007
5.53275,3.00805
5.75661,3.03243
5.99438,3.05164
6.18273,3.08347
6.38902,3.09438
6.60442,3.0983
6.8176,3.10822
7.03882,3.08315
7.23729,3.07225
7.45888,3.04334
7.66993,3.01697
7.88147,2.97816
8.07706,2.94177
8.27959,2.90006
8.48515,2.82317
8.66932,2.80346
8.889,2.71457
9.07381,2.6508
9.282,2.56292
9.48657,2.46346
9.68882,2.3534
9.86998,2.28327
10.06,2.1805
10.2591,2.04322
10.4399,1.95104
10.633,1.79478
10.826,1.66017
11.006,1.54576
11.1959,1.42654
11.9121,0.803364
12.0994,0.681417
