x,y
0.219124,0.228123
0.415573,0.32173
0.602143,0.415845
0.791244,0.507494
0.976274,0.595933
1.14712,0.630134
1.33806,0.697626
1.52946,0.774913
1.70537,0.801996
1.89478,0.881857
2.06527,0.906026
2.26444,0.950769
2.44924,0.981812
2.63097,0.997172
2.838,1.02091
2.97591,1.01132
3.16517,1.00719
3.36255,1.00076
3.51492,0.983471
3.68676,0.971004
3.88813,0.94653
4.05658,0.918811
4.21921,0.888438
4.40235,0.830621
4.56244,0.8169
4.91582,0.65225
5.08522,0.578847
5.24848,0.49128
5.4042,0.428009
5.56702,0.342419
5.72425,0.2713
5.89313,0.167253
6.05297,0.0590759
6.15606,0.11967
