x,y
0.208396,0.261047
0.438945,0.476682
0.659398,0.637453
0.88502,0.821446
1.11695,0.964836
1.34019,1.12975
1.55521,1.26031
1.79037,1.42527
2.01265,1.55846
2.22505,1.67613
2.45484,1.78487
2.66962,1.90352
2.8871,2.00285
3.10837,2.10171
3.32903,2.19552
3.56337,2.28464
3.76402,2.36358
4.01507,2.43873
4.20413,2.50416
4.4255,2.56079
4.64919,2.61485
4.88284,2.6456
5.0956,2.6805
5.30635,2.70574
5.4948,2.74287
5.72656,2.74845
5.93655,2.7693
6.16114,2.76164
6.34577,2.7789
6.58233,2.76748
6.79575,2.75751
7.00983,2.73116
7.38626,2.63719
7.60207,2.59349
7.75689,2.56413
7.97622,2.47548
8.14469,2.46126
8.36616,2.3976
8.54959,2.3018
8.76217,2.21035
8.95355,2.12306
9.15123,2.02898
9.34308,1.94877
9.52954,1.8322
9.72992,1.71081
9.91329,1.62898
10.0914,1.5113
10.2886,1.36193
10.4327,1.3067
