x,y
0.332042,0.404902
0.571482,0.620198
0.786769,0.752473
1.0332,0.94586
1.27007,1.11377
1.50355,1.2844
1.71184,1.41483
1.95467,1.59944
2.19285,1.74763
2.61765,1.98609
2.87346,2.1218
3.08821,2.23559
3.32618,2.35316
3.55339,2.45227
3.76811,2.54336
4.00455,2.63945
4.19805,2.71537
4.42745,2.78994
4.64678,2.85755
4.85512,2.92319
5.10016,2.96678
5.30694,3.01745
5.56198,3.03624
5.75123,3.08528
5.94328,3.11637
6.17665,3.13204
6.38652,3.14706
6.59099,3.16407
6.81697,3.16177
7.03031,3.15448
7.25762,3.11867
7.454,3.11843
7.67513,3.07428
7.85631,3.06441
8.07088,3.01713
8.28327,2.95615
8.48869,2.90612
8.70181,2.82317
8.88236,2.793
9.09237,2.716
9.29393,2.62465
9.47338,2.59889
9.65873,2.5121
9.87372,2.40073
10.0766,2.27461
10.2577,2.22141
10.4572,2.07716
10.6438,2.01243
10.8348,1.84887
11.0364,1.67888
11.2179,1.55945
12.1363,0.789758
12.4044,0.705426
